,JobRuntime,Command,Factor,type,time1,time2,time3,time4,time5,mean,sd,median
68,21.839000000000002,gramschmidt,0.45,plp,21.839000000000002,21.763,21.688000000000002,21.628,21.865,21.7416,0.10412156356874341,21.688000000000002
69,21.615,gramschmidt,0.50,plp,21.615,21.621,21.549,21.76,21.629,21.6204,0.08629484341488868,21.615
70,21.724,gramschmidt,0.55,plp,21.724,21.595,21.581999999999997,21.656999999999996,21.625999999999998,21.6342,0.059373394715142615,21.625999999999998
71,21.608,gramschmidt,0.60,plp,21.608,21.576,21.604,21.593000000000004,21.816999999999997,21.6452,0.09620135134185819,21.604
72,21.684,gramschmidt,0.65,plp,21.684,21.875,21.646,21.671999999999997,21.684,21.6664,0.0192561678430573,21.671999999999997
73,21.576999999999998,gramschmidt,0.70,plp,21.576999999999998,21.656999999999996,21.611,21.67,21.674,21.6286,0.04200357127673859,21.611
74,21.848000000000003,gramschmidt,0.75,plp,21.848000000000003,21.631,21.628,21.741999999999997,21.765,21.7222,0.09460021141625495,21.741999999999997
75,21.64,gramschmidt,0.80,plp,21.64,21.548000000000002,21.642,21.825,21.714000000000002,21.6926,0.08042885054506242,21.642
76,21.708000000000002,gramschmidt,0.85,plp,21.708000000000002,21.853,21.654,21.555,21.621,21.638399999999997,0.05610080213330368,21.654
77,21.565,gramschmidt,0.90,plp,21.565,21.59,21.401,21.73,21.551,21.529600000000002,0.13688243130511699,21.551
78,21.557,gramschmidt,0.95,plp,21.557,21.432,21.326999999999998,21.401,21.337,21.3898,0.09843373405494685,21.337
79,10.623,gramschmidt,1.00,plp,10.623,10.644,10.654000000000002,10.648,10.65,10.645800000000001,0.01300769003320812,10.65
60,22.059,gramschmidt,0.05,ess,22.059,22.026,22.052,21.98,22.009,22.030400000000004,0.034457219853029235,22.052
61,22.1,gramschmidt,0.10,ess,22.1,22.066999999999997,21.924,22.026,22.131,22.021,0.0964157663455522,22.026
62,22.03,gramschmidt,0.15,ess,22.03,22.079,22.005,22.165,22.065,22.053999999999995,0.06674578638386093,22.03
63,22.142,gramschmidt,0.20,ess,22.142,22.08,22.073,22.115,22.035999999999998,22.0878,0.04122741806128556,22.073
64,22.041999999999998,gramschmidt,0.25,ess,22.041999999999998,22.023000000000003,22.05,22.078000000000003,21.979,22.0398,0.03663604782178457,22.05
65,22.168000000000003,gramschmidt,0.30,ess,22.168000000000003,22.318,21.973000000000003,22.070999999999998,22.12,22.061,0.08734700910735266,22.070999999999998
66,22.2,gramschmidt,0.35,ess,22.2,21.984,22.0,22.092,21.991999999999997,22.0568,0.08999555544581084,22.0
67,21.97,gramschmidt,0.40,ess,21.97,22.069000000000003,22.162,22.059,21.984,22.0674,0.09275128031461283,22.059
68,22.361,gramschmidt,0.45,ess,22.361,21.945,22.085,22.031999999999996,22.023000000000003,22.117200000000004,0.1393240826275201,22.085
69,21.984,gramschmidt,0.50,ess,21.984,22.019000000000002,22.112,22.051,22.088,22.0694,0.053868358059252906,22.088
70,22.049,gramschmidt,0.55,ess,22.049,22.037,22.014,22.16,22.069000000000003,22.0612,0.0600558073794704,22.049
71,22.07,gramschmidt,0.60,ess,22.07,22.055,22.045,21.938000000000002,21.98,22.0156,0.05472019736806472,22.045
72,22.006,gramschmidt,0.65,ess,22.006,22.094,22.112,22.025,22.148000000000003,22.080599999999997,0.061585712628823966,22.112
73,22.098000000000003,gramschmidt,0.70,ess,22.098000000000003,22.223000000000003,22.04,22.004,22.078000000000003,22.052,0.036687872655689305,22.04
74,22.021,gramschmidt,0.75,ess,22.021,22.256999999999998,22.052,21.996,22.004,22.025,0.02624880949681324,22.021
75,21.996,gramschmidt,0.80,ess,21.996,22.09,22.051,22.156999999999996,21.976,22.0462,0.07030433841520638,22.051
76,22.026,gramschmidt,0.85,ess,22.026,22.059,22.094,22.184,22.180999999999997,22.1158,0.06692682571286296,22.094
77,22.055999999999997,gramschmidt,0.90,ess,22.055999999999997,21.98,22.108,22.048000000000002,21.989,22.0618,0.04947928859634091,22.055999999999997
78,22.048000000000002,gramschmidt,0.95,ess,22.048000000000002,22.006,22.096,22.026999999999997,21.982,22.0498,0.048447910171647804,22.048000000000002
79,21.79,gramschmidt,1.00,ess,21.79,21.947,21.831,21.754,21.795,21.8002,0.03225988220685182,21.795
60,22.084,gramschmidt,0.05,eae,22.084,22.059,22.031,22.166999999999998,22.159000000000002,22.0944,0.066315910609748,22.084
61,22.055999999999997,gramschmidt,0.10,eae,22.055999999999997,22.019000000000002,21.983,22.034000000000002,22.165,22.0442,0.07471077566188085,22.034000000000002
62,22.016,gramschmidt,0.15,eae,22.016,21.997,22.045,22.090999999999998,22.066,22.052599999999998,0.02788010043023455,22.045
63,21.968000000000004,gramschmidt,0.20,eae,21.968000000000004,21.983,21.967,22.230999999999998,22.029,22.0324,0.1141875649972438,21.968000000000004
64,22.070999999999998,gramschmidt,0.25,eae,22.070999999999998,22.074,22.066,22.033,22.238000000000003,22.0948,0.08147208110758089,22.066
65,22.04,gramschmidt,0.30,eae,22.04,22.124000000000002,22.031999999999996,22.019000000000002,22.075,22.0396,0.021173096136370667,22.031999999999996
66,22.016,gramschmidt,0.35,eae,22.016,22.147,22.029,22.046999999999997,22.070999999999998,22.0384,0.021302582003127568,22.029
67,22.034000000000002,gramschmidt,0.40,eae,22.034000000000002,22.076999999999998,22.125999999999998,22.088,22.081999999999997,22.091199999999997,0.038042081961951815,22.088
68,21.98,gramschmidt,0.45,eae,21.98,22.065,22.136999999999997,22.01,22.148000000000003,22.0824,0.08061203384110749,22.136999999999997
69,21.994,gramschmidt,0.50,eae,21.994,21.99,22.038,22.095,22.044,22.0418,0.0358775695943855,22.038
70,22.049,gramschmidt,0.55,eae,22.049,22.154,22.035999999999998,22.08,22.127,22.065599999999996,0.038746612755181875,22.049
71,22.029,gramschmidt,0.60,eae,22.029,22.011,22.041999999999998,22.160999999999998,22.154,22.0856,0.06589613038714795,22.041999999999998
72,22.026,gramschmidt,0.65,eae,22.026,22.028000000000002,22.115,21.956999999999997,22.095,22.0616,0.06896955850228453,22.095
73,22.006,gramschmidt,0.70,eae,22.006,22.101999999999997,22.022,21.996,22.039,22.017,0.016552945357247495,22.022
74,21.99,gramschmidt,0.75,eae,21.99,21.97,21.976,22.072,22.134,22.0296,0.07073047433744581,21.99
75,22.105999999999998,gramschmidt,0.80,eae,22.105999999999998,21.943,21.934,21.994,21.909000000000002,21.9754,0.07943424954010547,21.934
76,21.935,gramschmidt,0.85,eae,21.935,21.980999999999998,21.875999999999998,21.941,22.006,21.926799999999997,0.05408974024711261,21.935
77,21.831999999999997,gramschmidt,0.90,eae,21.831999999999997,21.974,21.845,21.933000000000003,21.814,21.8538,0.046061914853815764,21.845
78,21.660999999999998,gramschmidt,0.95,eae,21.660999999999998,21.918000000000003,21.723000000000003,21.859,21.715,21.736200000000004,0.07337029371619115,21.723000000000003
79,10.640999999999998,gramschmidt,1.00,eae,10.640999999999998,10.662,10.629000000000001,10.667,10.603,10.6338,0.023177575369308756,10.629000000000001
60,22.701999999999998,gramschmidt,0.05,org,22.701999999999998,22.747,23.331999999999997,23.166999999999998,22.798000000000002,23.0662,0.2983424207182063,23.166999999999998
61,22.838,gramschmidt,0.10,org,22.838,23.156999999999996,23.291999999999998,23.134,22.69,23.0492,0.27327861240865375,23.134
62,23.131,gramschmidt,0.15,org,23.131,23.085,23.160999999999998,23.14,22.973000000000003,23.1132,0.07946823264676098,23.14
63,23.085,gramschmidt,0.20,org,23.085,23.095,23.136999999999997,23.109,23.023000000000003,23.0982,0.04732018596751033,23.109
64,22.86,gramschmidt,0.25,org,22.86,23.111,23.153000000000002,23.029,22.994,23.0378,0.12262830015946692,23.029
